tweet_id,fecha_reply,reply_id,texto,likes,retweets,replies,gender,usuario,;;
",543,68,34,male,@mateoamayaq,
1902735022223757707,20/03/2025 15:15:00,30,@petrogustavo";;
" escuche lo que le dice una persona que si estudio, porq usted si mucho tiene 2 de primaria. Unos dicen que usted dizque es el presidente de Colombia, yo diría que es un bodeguero más como los otros que solo siembran ODIO https://x.com/i/status/1902816194731680011"",395,140,17,male,@Cardonagar87,";;
"1915100899074363584,23/04/2025 12:52:00,31,""🚨Gustavo Petro pasará a la historia como un pensador, líder mundial, gran demócrata, apasionado por el pueblo y transparente en lo público. Alvaro Leyva, será recordado por ser un traidor, desagradecido, pendenciero, inventa chismes, arrabalero y busca puestos. Así de simple!!!"",2600,876,257,male,@ElPensador75,";;
"1915100899074363584,23/04/2025 12:56:00,32,""Señor, ese viaje era de trabajo, si quiere pasar tiempo en familia, pida vacaciones como cualquier otro colombiano, usted no es la realeza."",3200,276,28,male,@ElMinarca,";;
"1915100899074363584,23/04/2025 12:53:00,33,""Sencillo presidente, dígale a Casa Militar que confirme los hechos. Que usted evidentemente estuvo esas 48 horas con su familia. El que nada debe, nada teme. Hágase de paso un examen toxicológico y publíquelo, sea, cómo aboga ser, TRANSPARENTE.                                                                                                                         El problema, no es capaz!"",2800,413,105,male,@NicolasGomezMSN,";;
"1915100899074363584,23/04/2025 13:01:00,34,""Presidente, es muy grave lo que denuncia Leyva. Si esto es así, debe presentar su renuncia e internarse en una clínica de rehabilitación lo más pronto posible. Hágalo. Es por el bien de Colombia y el suyo. Ya son demasiadas situaciones escandalosas."",2100,422,24,male,@agusantonetti,";;
1915100899074363584,23/04/2025 12:53:00,35,No hay ninguna persecución Presidente @petrogustavo. No es pecado estar con su familia.                                                                                                                                El punto acá es que hoy usted tiene graves indicios de NO estar en condiciones de manejar un país.                                                                                                                         Un barco sin capitán y a la deriva es hoy Colombia.,1800,349,200,male,@papoaminCD,;;
"1915100899074363584,23/04/2025 13:00:00,36,""¿Está usted drogado en este momento?                                                                                                                                                                                                                              Ya 3 Petristas han confirmado su drogadicción, Armando Benedetti, María Jimena Duzan y Álvaro Leyva."",1000,230,30,male,@santiuribedel10,";;
"1915100899074363584,23/04/2025 13:08:00,37,""Al árbol que más piedras le lanzan es al que más frutos da...                                                                                                                                                                                                Ni un paso atrás Presidente ";;
"@petrogustavo, tienes a todo un pueblo junto contigo. ¡FUERZA PETRO! https://pbs.twimg.com/media/GpPSO0LWIAEd6Fl?format=jpg&name=large"",858,292,62,male,@OrrotushLopez,";;
"1915100899074363584,23/04/2025 14:32:00,38,""Presidente Petro, es su deber denunciar penalmente a @AlvaroLeyva. No se puede permitir que por resentimiento, o intereses políticos, lo calumnien de esa manera. Otra cosa es que el chismoso Leyva esté perdiendo la razón por la edad."",912,253,83,male,@AntonioCR1974,";;
"1915100899074363584,23/04/2025 12:56:00,39,""Guerrillero DROGADICTO                                                                                                                                                                                                                                                      “El alcohol mata más que la cocaina” usted está vivo de puro milagro de tanto meterle bazuco, whisky y coca al cuerpo ";;
"Usted tiene que ser DESTITUIDO de manera inmediata Art 194 C.N https://x.com/i/status/1915102570906898791"",650,292,24,female,@PALOMITA80,";;
1915100899074363584,23/04/2025 12:53:00,40,Lo que se volvió un pecado es que consumieras cocaína mientras te acostabas con una menor.                                                                                                                                                     Pederasta.,880,127,9,male,@millanrussy,;;
1912243983780122823,15/04/2025 17:59:00,41,¿Quién le habrá informado a este señor? A Iza se le detuvo hace más de dos años y por un motivo en absoluto relacionado con las elecciones. Debería reveer quién trabaja para él,1300,212,60,male,@Martinminguchi,;;
"1912243983780122823,15/04/2025 16:49:00,42,""En Ecuador hubo fraude, fue la orden que le dieron a Daniel Noboa para que Estados Unidos instale allí las mayores bases militares de la región (navales y aéreas) y así tener despliegue hacia toda sudamerica... Ecuador y Panamá son el eje del nuevo plan de dominación!!"",767,430,117,male,@David_qva,";;
"1912243983780122823,15/04/2025 15:43:00,43,""Cuantas MENTIRAS en un mismo trin!";;
Diga que no quiere reconocer el triunfo del Presidente de Ecuador ;;
@DanielNoboaOk;;
 por alinearse con su amigo Maduro!;;
;;
"Estuve con sus Congresistas en Ecuador, nada de lo que comenta pasó!"",1000,296,29,female,@luzpastrana,";;
"1912243983780122823,17/04/2025 16:49:00,44,""Presidente Presidente. No es tan difícil. Aquí le comparto las actas del escrutinio del proceso electoral en segunda vuelta del hermano país del Ecuador 🇪🇨 donde se demuestra el resultado de sobra. ";;
;;
