fecha,tweet_id,texto,likes,retweets,replies,usuario
2025-03-22 01:11:35+00:00,1903253188267884980,"Esta es la evolución de las PQRs , léase quejas, de las EPS intervenidas por mi gobierno y miren el mejoramiento que experimentan desde que hemos aplicado la reforma a la salud parcialmente .

Esta es una prueba de la pertinencia de nuestra  propuesta sobre la reforma a la salud. https://t.co/OheTLd3qjv",4296,2087,1682,@petrogustavo
2025-03-20 02:52:15+00:00,1902553748159000729,"Lo que se denuncia aquí, muestra uno de los hechos más pérfidos de la política colombiana. Tiene una base en Goebbels: es nazi, pero usa nuestras instituciones y vulnera nuestra constitución. El caso de Alex Flórez senador del Pacto histórico y su esposa acosada, lo demuestra y https://t.co/g9SusAiMv0",4281,2128,1660,@petrogustavo
2025-04-18 14:10:32+00:00,1913233691779960900,"Con dineros del pueblo de Haití, Francia hizo la torre Eiffel.
Haití nos dio a la independencia, nosotros ahora debemos ayudarla. https://t.co/DTIoPwRMMr",5028,1698,1634,@petrogustavo
2025-03-22 05:24:02+00:00,1903316718396612771,"Jefe de bodega parece ser usted, que defiende las bodegas de la iniquidad.

Es que 113.000 dosis de insulina guardadas, sin que se entreguen a los diabéticos, no es solo tener una actitud antigubernamental, como la que usted tiene, solo porque le pedí menos negocios en la salud y https://t.co/mjeyj1QPma",11419,4636,1623,@petrogustavo
2025-04-10 03:34:07+00:00,1910174429281239052,"Ahora presidente de la CELAC, el primer presidente colombiano en asumir esta responsabilidad. https://t.co/V4lQXdxASD",13256,3449,1614,@petrogustavo
2025-03-19 21:09:49+00:00,1902467568536891634,"RTVC es faro de la verdad y por tanto la codicia y los Nazis quieren apagarlo. 

Quieren periodismo pago y nada más. El falso periodismo que solo expresa la ideología de los poderosos porque su dueño son los poderosos que amasan sus fortunas con el trabajo de los demás y los https://t.co/VFWwkDBlG5",3918,1961,1614,@petrogustavo
2025-03-22 14:41:15+00:00,1903456948948701541,"Le informo a la persona que gusta hacer noticias con la sangre humana, que la nueva EPS no la creó este gobierno, una periodista no debe mentir ante su público. Imagine que pasaría si dirigiera el país 

La Nueva Eps la creo Vargas Lleras para que su familia la dirigiera y sus https://t.co/lLwmMi9kd8",10442,4208,1608,@petrogustavo
2025-04-11 15:44:34+00:00,1910720641101078546,"Yo no amenazó senadora Blel, usted ha amenazado a todas las familias trabajadoras de Colombia, al meterse en su casa y quitarles el descanso y el mercado. https://t.co/mMvDMTrQkq",11091,4747,1605,@petrogustavo
2025-04-01 12:52:00+00:00,1907053334290202980,Mi mayor error en el gobierno. https://t.co/E0IKrFTS3p,6311,2236,1587,@petrogustavo
2025-03-24 15:26:17+00:00,1904193057148260485,"Durante meses hay escasez de medicamentos de insulina en Colombia en los dispensarios, pero están llenas las bodegas.

Nos creen bobos. Las medidas penales deben comenzar. https://t.co/xoT8OAJSh2",6674,2652,1578,@petrogustavo
2025-03-30 23:54:26+00:00,1906495264237748287,"Ojalá Ecuador y Panamá y Venezuela, consideren en la historia, después de traiciones, engaños y codicias, que llegó el momento de ser grandes y unidos, como pueblo poderoso. ¿Por qué le tememos a ser poderosos?

Apuesto a ese sueño de Bolívar. 

América del sur y del Caribe no se https://t.co/Hex4xOQ9S0",7735,2731,1543,@petrogustavo
